seed,pass,contract,trump,pred_ev,actual_gp,p
100162,1,,,0.0000,0.0000,0.0000
100160,0,parti,acorns,0.4013,-1.0000,0.7006
100100,0,parti,acorns,0.9533,1.0000,0.9767
100150,0,parti,acorns,0.9196,1.0000,0.9598
100164,0,ulti,hearts,7.7650,8.0000,0.9902
100161,0,parti,hearts,1.6535,-2.0000,0.9134
100166,0,ulti,hearts,2.3919,-16.0000,0.7663
100169,1,,,0.0000,0.0000,0.0000
100156,0,ulti,bells,3.9936,4.0000,0.9995
100171,0,ulti,hearts,2.9493,8.0000,0.7896
100167,0,ulti,hearts,1.8778,8.0000,0.7449
100172,0,durchmars,,1.2030,-6.0000,0.6003
100165,0,parti,acorns,0.7078,1.0000,0.8539
100175,1,,,0.0000,0.0000,0.0000
100093,0,ulti,leaves,3.9963,4.0000,0.9997
100168,0,ulti,bells,3.9141,4.0000,0.9928
100173,0,ulti,bells,3.9138,4.0000,0.9928
100170,0,parti,acorns,0.0965,1.0000,0.5483
100180,0,parti,hearts,1.5125,-2.0000,0.8781
100149,0,parti,hearts,0.6322,-2.0000,0.6580
100176,0,parti,hearts,1.8924,2.0000,0.9731
100177,0,ulti,hearts,6.8585,8.0000,0.9524
100174,0,ulti,hearts,7.4631,8.0000,0.9776
100184,1,,,0.0000,0.0000,0.0000
100185,1,,,0.0000,0.0000,0.0000
100187,1,,,0.0000,0.0000,0.0000
100186,0,ulti,leaves,2.0424,-8.0000,0.8369
100183,0,ulti,bells,2.7906,4.0000,0.8992
100178,0,parti,acorns,0.8456,1.0000,0.9228
100189,0,ulti,bells,2.7877,4.0000,0.8990
100190,0,parti,leaves,0.4733,1.0000,0.7366
100188,0,ulti,bells,2.0488,4.0000,0.8374
100194,0,ulti,leaves,1.1790,4.0000,0.7649
100192,0,parti,hearts,1.9912,2.0000,0.9978
100196,1,,,0.0000,0.0000,0.0000
100193,0,betli,,1.9189,-5.0000,0.6919
100191,0,parti,hearts,1.9421,2.0000,0.9855
100199,1,,,0.0000,0.0000,0.0000
100179,0,parti,hearts,1.2593,-2.0000,0.8148
100198,0,ulti,acorns,1.8373,4.0000,0.8198
100200,0,ulti,leaves,2.8539,4.0000,0.9045
100203,1,,,0.0000,0.0000,0.0000
100204,1,,,0.0000,0.0000,0.0000
100182,0,ulti,acorns,3.9861,4.0000,0.9988
100202,0,ulti,leaves,1.1370,-8.0000,0.7614
100205,0,parti,hearts,0.9931,-2.0000,0.7483
100208,1,,,0.0000,0.0000,0.0000
100209,1,,,0.0000,0.0000,0.0000
100206,0,ulti,hearts,5.8898,8.0000,0.9121
100207,0,parti,bells,0.0717,-1.0000,0.5359
100210,0,betli,,0.7647,5.0000,0.5765
100213,1,,,0.0000,0.0000,0.0000
100195,0,ulti,bells,3.7652,4.0000,0.9804
100212,0,parti,hearts,1.1661,2.0000,0.7915
100214,0,ulti,leaves,2.5472,-8.0000,0.8789
100215,0,parti,hearts,1.2441,2.0000,0.8110
100218,1,,,0.0000,0.0000,0.0000
100216,0,ulti,leaves,3.3049,-8.0000,0.9421
100219,0,durchmars,,5.5244,-6.0000,0.9604
100217,0,ulti,bells,1.0678,-8.0000,0.7557
100163,0,ulti,leaves,3.9355,4.0000,0.9946
100223,1,,,0.0000,0.0000,0.0000
100220,0,ulti,bells,1.3435,4.0000,0.7786
100225,1,,,0.0000,0.0000,0.0000
100226,1,,,0.0000,0.0000,0.0000
100222,0,ulti,leaves,2.8521,-8.0000,0.9043
100221,0,ulti,leaves,0.8936,4.0000,0.7411
100211,0,parti,leaves,0.5821,1.0000,0.7910
100224,0,parti,acorns,0.0112,-1.0000,0.5056
100201,0,ulti,bells,3.9964,4.0000,0.9997
100230,0,parti,hearts,1.9808,2.0000,0.9952
100228,0,ulti,bells,0.8572,4.0000,0.7381
100231,0,ulti,hearts,6.0894,8.0000,0.9204
100235,0,ulti,hearts,3.8274,-16.0000,0.8261
100236,0,durchmars,,1.2852,-6.0000,0.6071
100233,0,parti,acorns,0.6274,1.0000,0.8137
100237,0,ulti,leaves,3.3075,-8.0000,0.9423
100234,0,ulti,hearts,4.6887,8.0000,0.8620
100227,0,parti,acorns,0.0479,-1.0000,0.5240
100232,0,ulti,hearts,7.2063,8.0000,0.9669
100239,0,ulti,hearts,5.9957,8.0000,0.9165
100243,1,,,0.0000,0.0000,0.0000
100242,0,ulti,bells,3.5906,4.0000,0.9659
100245,0,durchmars,,5.9552,-6.0000,0.9963
100240,0,ulti,hearts,4.0387,-16.0000,0.8349
100247,1,,,0.0000,0.0000,0.0000
100248,1,,,0.0000,0.0000,0.0000
100241,0,ulti,acorns,3.8980,4.0000,0.9915
100246,0,ulti,acorns,3.4049,-8.0000,0.9504
100250,0,parti,hearts,1.3090,-2.0000,0.8273
100244,0,parti,hearts,1.3541,2.0000,0.8385
100238,0,parti,hearts,1.2759,2.0000,0.8190
100254,1,,,0.0000,0.0000,0.0000
100249,0,ulti,hearts,4.2208,8.0000,0.8425
100256,1,,,0.0000,0.0000,0.0000
100252,0,ulti,leaves,2.4598,4.0000,0.8717
100229,0,ulti,acorns,3.6900,4.0000,0.9742
100259,1,,,0.0000,0.0000,0.0000
100253,0,ulti,bells,2.1703,4.0000,0.8475
100257,0,ulti,acorns,0.4520,-8.0000,0.7043
100255,0,ulti,hearts,6.3996,8.0000,0.9333
100181,0,parti,bells,0.9106,1.0000,0.9553
100264,1,,,0.0000,0.0000,0.0000
100263,0,parti,hearts,1.8527,2.0000,0.9632
100266,0,parti,hearts,0.6994,-2.0000,0.6748
100265,0,parti,hearts,1.5061,-2.0000,0.8765
100251,0,ulti,acorns,3.9952,4.0000,0.9996
100258,0,ulti,bells,3.7614,4.0000,0.9801
100197,0,ulti,leaves,3.9873,4.0000,0.9989
100271,1,,,0.0000,0.0000,0.0000
100260,0,parti,hearts,1.9528,2.0000,0.9882
100272,0,betli,,3.1015,5.0000,0.8102
100273,0,durchmars,,4.8592,-6.0000,0.9049
100269,0,ulti,bells,3.4092,4.0000,0.9508
100276,0,ulti,bells,3.1428,-8.0000,0.9286
100277,1,,,0.0000,0.0000,0.0000
100270,0,ulti,leaves,3.2404,4.0000,0.9367
100267,0,parti,hearts,0.7394,-2.0000,0.6849
100280,1,,,0.0000,0.0000,0.0000
100281,0,ulti,hearts,5.8917,-16.0000,0.9122
100282,1,,,0.0000,0.0000,0.0000
100283,1,,,0.0000,0.0000,0.0000
100284,1,,,0.0000,0.0000,0.0000
100285,0,durchmars,,5.5319,-6.0000,0.9610
100286,0,ulti,leaves,3.4020,-8.0000,0.9502
100274,0,parti,acorns,0.8668,1.0000,0.9334
100288,1,,,0.0000,0.0000,0.0000
100278,0,parti,hearts,1.2546,2.0000,0.8136
100289,0,ulti,leaves,3.3900,4.0000,0.9492
100279,0,ulti,leaves,3.9815,4.0000,0.9985
100275,0,ulti,hearts,7.5594,8.0000,0.9816
100292,0,ulti,leaves,3.9770,4.0000,0.9981
100291,0,betli,,2.2552,-5.0000,0.7255
100268,0,parti,leaves,0.4556,1.0000,0.7278
100296,0,betli,,0.6855,-5.0000,0.5685
100287,0,ulti,acorns,3.5957,4.0000,0.9663
100298,1,,,0.0000,0.0000,0.0000
100299,1,,,0.0000,0.0000,0.0000
100295,0,parti,hearts,1.9358,2.0000,0.9840
100294,0,ulti,leaves,3.6491,4.0000,0.9708
100290,0,parti,leaves,0.8691,1.0000,0.9346
100261,0,ulti,bells,3.9881,4.0000,0.9990
100297,0,ulti,bells,3.6799,4.0000,0.9733
100262,0,ulti,bells,3.9910,4.0000,0.9993
100293,0,ulti,bells,3.9813,4.0000,0.9984
